text,sentiment
"That doesn't seem to be the case? With this branch, and the example of the whatsnew docs: Further a general comment (will try to do more detailed review later this week): I am not sure we can just change this. First, it is a API breaking change in several places, eg also pivot_table*. And second, I think the current behaviour can actually useful in certain cases and it would be nice to have a way to keep this behaviour.  I know this is very ugly, but it would be worth to have a keyword for this in  ? * but I agree we should look into it and try to make this more consistent. As, for example,  does not seem to include unobserved categories (already currently on master), while  does include them but apparently only for the index and not columns? (try  with the example of whatsnew). On the other hand,  does include them (and I think rightly so), but that also introduces an inconsistency with groupby.",0
"Source files that contain directives or components that need an inline type constructor or inline template type-check block would always be considered as affected in incremental rebuilds. The inline operations cause the source file to be updated in the TypeScript program that is created for template type-checking, which becomes the reuse program in a subsequent incremental rebuild. In an incremental rebuild, the source files from the new user program are compared to those from the reuse program. The updated source files are not the same as the original source file from the user program, so the incremental engine would mark the file which needed inline operations as affected. This prevents incremental reuse for these files, causing sub-optimal rebuild performance. This commit attaches the original source file for source files that have been updated with inline operations, such that the incremental engine is able to compare source files using the original source file. Fixes #42543",0
Unfortunately HTTPS cannot be activated on Github when there's a CNAME,-1
I've upgrade to a version of the plugin that is compatible with Java 11. This PR is now ready.,0
"From a positioning PoV, a twinned axes is just like an inset axes whose position exactly matches the parent's position.  Doing so removes the need for the heuristic in / where a non-gridspec-managed Axes would track the position of any Axes with which it shared either xaxis or yaxis, which was a proxy for twinning (per 721b949).  This would cause incorrect behavior in rare cases such as where the  call would make the second axes go on top of the first. PR Summary PR Checklist <!-- Please mark any checkboxes that do not apply to this PR as [N/A]. -- - [ ] Has pytest style unit tests (and  passes). - [ ] Is Flake 8 compliant (run  on changed files to check). - [ ] New features are documented, with examples if plot related. - [ ] Documentation is sphinx and numpydoc compliant (the docs should build without error). - [ ] Conforms to Matplotlib style conventions (install  and  and run ). - [ ] New features have an entry in  (follow instructions in README.rst there). - [ ] API changes documented in  (follow instructions in README.rst there). <!-- Thank you so much for your PR!  To help us review your contribution, please consider the following points:   A development guide is available at .   Help with git and github is available at   .   Do not create the PR out of master, but out of a separate branch.   The PR title should summarize the changes, for example ""Raise ValueError on   non-numeric input to set_xlim"".  Avoid non-descriptive titles such as   ""Addresses issue #8576"".   The summary should provide at least 1-2 sentences describing the pull request   in detail (Why is this change required?  What problem does it solve?) and   link to any relevant issues.   If you are contributing fixes to docstrings, please pay attention to   .  In particular,   note the difference between using single backquotes, double backquotes, and   asterisks in the markup.   We understand that PRs can sometimes be overwhelming, especially as the reviews start coming in.  Please let us know if the reviews are unclear or the recommended next step seems overly demanding, if you would like help in addressing a reviewer's comments, or if you have been waiting too long to hear back on your PR. --",0
"Adding a line to the settings.gradle will get it compile into the build, but we still need to program the app to use okhttp instead default one. There is no magic (like reflection) to pick up the okhttp.",0
"Sorry it if it seemed hostile, it wasn't meant as such. Just that I'm dyslexic and long responses take me a long time to parse, as you can see from the volume of issues on pydantic, avoiding such time sinks is helpful. I actually skim-read your message above, but missed the part about duplication. That's my fault, but also kind of an example of what I was saying. I'll look into this more soon and let you know what I think.",0
Mostly for my sanity. It's hard to keep track of what is enabled where if it's not enforced.,-1
Thank you! :smile:,1
"Fixed typos I saw in the Request Context documentation. <!-- Commit checklist:  add tests that fail without the patch ensure all tests pass with pytest add documentation to the relevant docstrings or pages add versionadded or versionchanged directives to relevant docstrings add a changelog entry if this patch changes code  Tests, coverage, and docs will be run automatically when you submit the pull request, but running them yourself can save time. --",0
"Could you please check this commit for the mutable schema interface? It builds the host-side flatc using cmake ExternalProject_Add(). Then, we could use the flatc to generate the mutable schema interface.",0
"🤦‍♂️ Thank you, !",-1
"Sorry for my delay, I was on Holidays :-) Your question is very interesting; I discussed this issue with . We think there is a performance problem even in the original CAS client; the behavior is exactly the same. We should probably change the gatewayResolver to try a gateway authentication every xx minutes. I will discuss the question on the CAS mailing list and come back with answers. Any suggestions from you are welcome.",0
"Since, the same test failed twice, which does not happen in other pull requests. I suspect that there is a change in this PR that is causing the failure.  can you verify?",0
"-c I would really like to have it in 2.2. reworking the PR now. The thing is, our use case (however ""not-ansibly"") involves running potentially dozens of ansible-playbook processes each against a single node, but from the server-side component w/o human interaction. Unfortunately this one-node-per-playbook restriction is imposed by the outer framework we are using Ansible under. That is why being able to save even couple of CPU% is important for me.",0
I'd quite like to go the other way and add some additional CSS styles. I think the HTML snippets are quite useful for people.,1
"Hmm, did something go wrong with",0
Thanks a lot ! I am not sure we'll have time to review this one for 2.0 still. I am flagging it now to get more feedback.,0
Thank you for the PR. Actually  takes precedence over so I've added a separate entry to make that more explicit.,0
"Okay, after some fixes, there are no remaining issues with my app. This is mergable AFAIK :smile:",1
"Thanks for your reply . This PR was submitted based on Andy's comment. It's essentially a variant of  , simplifying some logic and accounting for attribute overriding. I didn't modify the code in  and this unit test passed.",0
"Do you understand exactly what the specification means by ""successive frames""? Video frames are quite often re-ordered during decode, and it's unclear whether successive is defined before or after this re-ordering occurs.",0
"Fixes #4703. <!-- describe the changes you have made here: what, why, ...       Link issues by using the following pattern: #333 or koppor#49.      The title of the PR must not reference an issue, because GitHub does not support autolinking there. --   [ ] Change in CHANGELOG.md described [ ] Tests created for changes [ ] Manually tested changed features in running JabRef [ ] Screenshots added in PR description (for bigger UI changes) [ ] Ensured that the git commit message is a good one [ ] Check documentation status (Issue created for outdated help page at help.jabref.org?)",0
Released. Closing this pull request.,0
The get_db dependency causes a weird  `TypeError: <async_generator object get_db at 0x7ff6d9d9aa60issue on my project. Here's my code: db.py session.py,-1
Would you please check if this looks good whenever you have some time for this?,0
Please let me know if  is supposed to be an optional field. I can do that as well. I wasn't able to figure it out from the docs. The schema on API docs page doesn't mention logs.,0
"-procon  is not going to help, the timeout offered by the provider is related to message consumption (which is certainly not something you want to do as part  of a health check). As for what Phil said, it's related to backporting the change to , there is no lambda there.",0
Congrats! E-mail me with how you'd like to be paid.,1
"I think your Amazon address is part of that group, but you're using a Lab126 address that isn't. You need to get the Lab126 address added to the group, or use your Amazon address on GitHub. The bot does verify corp CLA signers, so you should be able to reply  once this is resolved.",0
